Latitude,T2M_mean_C,GLASS_albedo_mean,T2M_slope_C_per_year,GLASS_albedo_slope_per_year
-1.5,24.973783,0.13209818,0.03783597333715596,0.00031122654770547885
-1.75,25.159248,0.13161889,0.03704623737340112,0.00032564324883881644
-2.0,25.256414,0.13200457,0.036667824768603564,0.00032374662468370117
-2.25,25.284891,0.13206407,0.03672320619746964,0.00031992107687057775
-2.5,25.219831,0.13372621,0.036580132478792986,0.00031471540796318187
-2.75,25.307798,0.13339652,0.03611626347500798,0.0003153428204320451
-3.0,25.309717,0.13387936,0.0354527386716047,0.0003093255308243302
-3.25,25.164173,0.13386203,0.035618477964609666,0.00031449874463247544
-3.5,25.142153,0.13379177,0.03611182905677673,0.00031386388852491207
-3.75,25.059246,0.13466524,0.03512349473946725,0.0003008441428840889
-4.0,25.006037,0.13411719,0.03518281371183239,0.0002987537890202836
-4.25,25.089407,0.13411407,0.03469945970924109,0.0002849073918197197
-4.5,25.18179,0.1350865,0.03418755739601459,0.0002679675035207077
-4.75,25.212242,0.1354023,0.033511538026655956,0.00028567737709572685
-5.0,25.132254,0.13611822,0.032799727858018345,0.00028659060059799265
-5.25,25.107899,0.13555652,0.03192967001179231,0.000300858889699841
-5.5,25.048195,0.13538823,0.03165034717942899,0.0002968537768095109
-5.75,24.901178,0.13549961,0.03019812167818894,0.0003014671514787333
-6.0,24.738558,0.13565075,0.029961856010796206,0.00027975653839933253
-6.25,24.837881,0.13544898,0.02976884058491348,0.000272360004875285
-6.5,24.902224,0.13548909,0.02930535852095918,0.00026005874336503014
-6.75,25.002653,0.1346,0.02899623228887768,0.0002565549913403171
-7.0,25.047728,0.13468388,0.029174981434820408,0.00023480552582659593
-7.25,24.973814,0.13440655,0.028989748209020064,0.0002325676750783734
-7.5,24.90713,0.13373184,0.028714212161103682,0.00024852617246384144
-7.75,24.844597,0.13308069,0.028008698437387274,0.00025556296698784416
-8.0,24.662075,0.13265893,0.02739557660953668,0.000266924283738033
-8.25,24.672554,0.1322652,0.026565384157662568,0.00027218024468674045
-8.5,24.69881,0.13327202,0.025604746101516935,0.000281979619868076
-8.75,24.554144,0.1337114,0.025855843644254996,0.0002935498413856894
-9.0,24.376608,0.13396119,0.026162241929183015,0.00030033027189538665
-9.25,24.226433,0.134706,0.02606545507819721,0.00030290094039798734
-9.5,24.181738,0.13500789,0.026023998890752378,0.0002847339409093062
-9.75,24.135746,0.13524966,0.02600120472711906,0.00027996791382216263
-10.0,24.114828,0.13518463,0.02586975856506093,0.00027138037529417344
-10.25,23.935884,0.13508856,0.025530248798675513,0.00028064171065860687
-10.5,23.786716,0.13509211,0.02558056189780929,0.0002880771493793778
-10.75,23.727757,0.1351007,0.025378834590313443,0.00027891547486914587
-11.0,23.684687,0.13467091,0.025563435479254732,0.00027946773899686125
-11.25,23.609016,0.13426127,0.02603638346497787,0.0002915150988007288
