Region,DisplayRegion,Year,T2M_C,GLASS_Albedo,ValidPixels,T2M_z,GLASS_z
Greenland,Greenland,2017,-17.865399838144345,0.7023329123381713,10517,0.08029943179200856,-0.35316567074314875
Greenland,Greenland,2018,-18.386626703823975,0.7100548470243262,10517,-0.5478834302471098,0.2735479134607731
Greenland,Greenland,2019,-17.076614029664704,0.6865743322413127,10517,1.030944456699722,-1.6321348171896084
Greenland,Greenland,2020,-18.394820006559737,0.6964693619817417,10517,-0.5577580025322374,-0.829052454223315
Greenland,Greenland,2021,-16.93839385110504,0.6963481374208743,10517,1.1975274804775784,-0.8388910610132637
Greenland,Greenland,2022,-17.231651783335696,0.7033072826770526,10517,0.8440928835403646,-0.2740856017913697
Greenland,Greenland,2023,-17.666887598460857,0.6745512751857818,10517,0.3195464758053091,-2.607928253240027
Greenland,Greenland,2024,-17.919872596693153,0.6766134373881078,10517,0.014648837738806517,-2.4405628043523646
Sahelian,Sahel,2001,28.148606006611452,0.29554521126048106,4945,-1.3267422531502573,-0.9136086949771218
Sahelian,Sahel,2002,28.358386656435073,0.2987186329801526,4945,-0.7051484805692219,0.6840319232015418
Sahelian,Sahel,2003,28.394260706055196,0.29741901791303527,4945,-0.5988513275196912,0.029748313067760213
Sahelian,Sahel,2004,28.428390194507184,0.29875152913400765,4945,-0.49772342320168517,0.7005932996031986
Sahelian,Sahel,2005,28.575274607602687,0.29807085758462853,4945,-0.06249530971195259,0.357913186151641
Sahelian,Sahel,2006,28.301753093393483,0.2977933854961882,4945,-0.8729574283216754,0.218221484870607
Sahelian,Sahel,2007,28.185001882642606,0.2976357533945044,4945,-1.2188988943484897,0.13886252453518463
Sahelian,Sahel,2008,28.096983873150265,0.29700863608765243,4945,-1.4797020076071141,-0.1768560185058498
Sahelian,Sahel,2009,28.906324994537854,0.29892881009998445,4945,0.9184286177449259,0.7898443658320514
Sahelian,Sahel,2010,29.241238855124593,0.29757881197304825,4945,1.9108002700723594,0.11019569868874449
Sahelian,Sahel,2011,28.427641952880084,0.29924508058832994,4945,-0.499940512033198,0.9490688947938817
Sahelian,Sahel,2012,28.285090818816172,0.29753377748086063,4945,-0.9223288366140968,0.087523346794259
Sahelian,Sahel,2013,28.724057698559193,0.29689434813526894,4945,0.3783587103403231,-0.23439362019442725
Sahelian,Sahel,2014,28.52744093072335,0.2974893817759404,4945,-0.20422961977747747,0.06517258861625676
Sahelian,Sahel,2015,28.561301312975207,0.2986932827083374,4945,-0.10389909471397359,0.6712694770120541
Sahelian,Sahel,2016,28.92829912068109,0.29810752936329965,4945,0.9835393893057395,0.37637537880087274
Sahelian,Sahel,2017,28.786905641968893,0.29917558049098636,4945,0.564581273173648,0.9140794769692117
Sahelian,Sahel,2018,28.603583519822717,0.2988184448200883,4945,0.02138584691192482,0.7342816106817475
Sahelian,Sahel,2019,28.51870630651938,0.29687399876780224,4945,-0.23011088201776853,-0.24463839031669335
Sahelian,Sahel,2020,28.60011066651577,0.29322603230508354,4945,0.011095555645786839,-2.0811857859764613
Sahelian,Sahel,2021,29.06012261202179,0.29292268239085706,4945,1.374141007549192,-2.2339055274104487
Sahelian,Sahel,2022,28.302017078988047,0.2920015806710635,4945,-0.8721752217560539,-2.69762880499887
Sahelian,Sahel,2023,29.417026823996828,0.2984591948157404,4945,2.431671507898733,0.5534192955758775
Sahelian,Sahel,2024,28.93425974637274,0.2997467193094423,4945,1.001201112699823,1.201615977185206
Amazon,Amazon,2001,24.41256902604094,0.13213972875525754,10627,-1.6889021119121643,-0.5204557835635815
Amazon,Amazon,2002,24.78067035665535,0.1322498096319375,10627,-0.50211399236793,-0.4897227705627092
Amazon,Amazon,2003,24.672373321719718,0.13253335402515684,10627,-0.8512722913312855,-0.4105612142056581
Amazon,Amazon,2004,24.659973381110607,0.13244907180794288,10627,-0.8912506912283569,-0.4340916089072698
Amazon,Amazon,2005,24.938173257408387,0.13278013417395498,10627,0.005687951991961172,-0.3416637112958635
Amazon,Amazon,2006,24.71749473589301,0.1328672382272444,10627,-0.7057972445866412,-0.3173455001504828
Amazon,Amazon,2007,24.82107604253853,0.13224978618207728,10627,-0.37184283065233986,-0.48972931742971054
Amazon,Amazon,2008,24.583513531322662,0.13302722492367008,10627,-1.1377633598976338,-0.272679493033622
Amazon,Amazon,2009,24.852597477988493,0.13296187027336914,10627,-0.2702152026278591,-0.2909255806188955
Amazon,Amazon,2010,25.23203131296206,0.13273193153849352,10627,0.9531098170022453,-0.3551212006163765
Amazon,Amazon,2011,24.799372393751895,0.13371671870793467,10627,-0.4418171295437479,-0.08018264821442483
Amazon,Amazon,2012,24.79525542973913,0.13304733811470204,10627,-0.45509055067153054,-0.2670641765488955
Amazon,Amazon,2013,24.78833183115837,0.13340335155287952,10627,-0.4774127860365124,-0.16767029494125252
Amazon,Amazon,2014,24.857646491918505,0.13333048900907038,10627,-0.25393677804963116,-0.1880124794668471
Amazon,Amazon,2015,25.30482813833636,0.13230227600273234,10627,1.1878126021037094,-0.4750749070610924
Amazon,Amazon,2016,25.358988565437908,0.13301976848826758,10627,1.3624301491967086,-0.27476122360369815
Amazon,Amazon,2017,25.09870641516122,0.13328544696290734,10627,0.5232596871877657,-0.2005875772682492
Amazon,Amazon,2018,24.7487018019059,0.1332846471702818,10627,-0.6051831687610746,-0.20081086797868125
Amazon,Amazon,2019,25.074738503923797,0.1333233870916006,10627,0.4459852251275837,-0.1899952336791369
Amazon,Amazon,2020,25.16123210918514,0.1334790974528091,10627,0.7248475236402635,-0.14652311845149835
Amazon,Amazon,2021,24.795303975689343,0.13319618079767864,10627,-0.4549340346467982,-0.22550941927435386
Amazon,Amazon,2022,24.76027184708809,0.13311265775754502,10627,-0.5678804180703951,-0.24882786254730943
Amazon,Amazon,2023,25.458993991618634,0.14576095786975146,10627,1.684855638621434,3.2823973921124687
Amazon,Amazon,2024,25.800973214852426,0.14584162532697847,10627,2.787423995512195,3.304918597307016
III Tropical South,Tropical/Southern,2001,13.406555256508831,0.27182602172553316,179496,-1.7839198553555617,-2.5947069029600027
III Tropical South,Tropical/Southern,2002,13.792828649816615,0.2736352245584307,179496,-0.31959318147335836,-0.8276178058549107
III Tropical South,Tropical/Southern,2003,13.686110742513561,0.2751368004218637,179496,-0.7241508884035732,0.6390051114324042
III Tropical South,Tropical/Southern,2004,13.560834623541133,0.2743505735808663,179496,-1.199061057703266,-0.12892032695133987
III Tropical South,Tropical/Southern,2005,13.909613858094406,0.2748847177266858,179496,0.12312873144855058,0.39279027353923107
III Tropical South,Tropical/Southern,2006,13.609694987472201,0.27490200930923153,179496,-1.0138359414011313,0.4096793511111901
III Tropical South,Tropical/Southern,2007,13.762314812373925,0.2752312379974184,179496,-0.43526831432993085,0.731244415442566
III Tropical South,Tropical/Southern,2008,13.460145489194645,0.2756256358962485,179496,-1.580764244482662,1.116461713509509
III Tropical South,Tropical/Southern,2009,13.9483567475194,0.27573290109150267,179496,0.2699994385466239,1.2212300421821547
III Tropical South,Tropical/Southern,2010,13.835368657228882,0.27465713087854404,179496,-0.15832795161245916,0.17050108037465822
III Tropical South,Tropical/Southern,2011,13.642906642110855,0.2740063511178925,179496,-0.8879336333112907,-0.4651301483373915
III Tropical South,Tropical/Southern,2012,13.62922676494653,0.27449394719442327,179496,-0.9397927811951617,0.011115905980789126
III Tropical South,Tropical/Southern,2013,13.931898084819723,0.27531134165696614,179496,0.2076061719506955,0.8094834613091606
III Tropical South,Tropical/Southern,2014,13.831954277483952,0.2748707900342275,179496,-0.17127154913143258,0.37918678307180537
III Tropical South,Tropical/Southern,2015,13.966193042874606,0.2747325418943718,179496,0.33761518300215365,0.24415671557915447
III Tropical South,Tropical/Southern,2016,14.127055308103317,0.2744533308325842,179496,0.9474291382901002,-0.028555008117281455
III Tropical South,Tropical/Southern,2017,13.97805181220584,0.27224832048541175,179496,0.38257067968402036,-2.1822382063974857
III Tropical South,Tropical/Southern,2018,14.027958572292444,0.2732515189032896,179496,0.5717625869392672,-1.202391749034912
III Tropical South,Tropical/Southern,2019,14.23867651951188,0.27475704440470394,179496,1.3705748171496484,0.26808886849884556
III Tropical South,Tropical/Southern,2020,14.161670029597428,0.27466567449289564,179496,1.0786503429368344,0.17884582066361668
III Tropical South,Tropical/Southern,2021,13.90382268282782,0.2741789470489213,179496,0.10117492214429155,-0.2965518207005475
III Tropical South,Tropical/Southern,2022,13.814261985948136,0.27326152843976725,179496,-0.23834138843914018,-1.19261520963582
III Tropical South,Tropical/Southern,2023,14.304537812688404,0.27500419156112205,179496,1.620248882321186,0.5094830546816679
III Tropical South,Tropical/Southern,2024,14.521174865122479,0.2763638116564854,179496,2.4414998924254885,1.8374545806126135
